Company Name,Address,Phone Number,Google business profile link,Website,E-Mail,Linkedin-Link
Jaibharat Fintech Pvt Ltd,"Shop no A5, Laxmi Niwas, Anant Kanekar Marg, behind Moon Light Shopping Centre, Azad Nagar, Andheri East, Mumbai, Maharashtra 400069 ",08291022555,https://www.google.com/maps/place/Jaibharat+Fintech+Pvt+Ltd/data=!4m7!3m6!1s0x3be7c9ec3707a51d:0x20f58afe95573669!8m2!3d19.118257!4d72.8528634!16s%2Fg%2F11ryp4rmwt!19sChIJHaUHN-zJ5zsRaTZXlf6K9SA?authuser=0&hl=en&rclk=1,Not present on google business profiles,"['pmmy1000@gmail.com', 'jaibharatfintech@gmail.com', 'Email : *****000@gmail.com', 'anil_kakar@rediffmail.com']",https://in.linkedin.com/in/jaibharat-fintech-89492924b
Knight Fintech Private Limited,"6th Floor, Techniplex-II, Malad, Pawan Baug, Liliya Nagar, Goregaon West, Mumbai, Maharashtra 400062 ",Not present on google business profiles,https://www.google.com/maps/place/Knight+Fintech+Private+Limited/data=!4m7!3m6!1s0x3be7b7cd2e026ff3:0x586b523cd0a2785b!8m2!3d19.1757619!4d72.8468004!16s%2Fg%2F11hzn37t2x!19sChIJ828CLs235zsRW3ii0DxSa1g?authuser=0&hl=en&rclk=1,http://www.knightfintech.com/,"['compliance@knightfintech.com', 'kushal.rastogi@quantmagnum.com', 'admin@knightfintech.com', 'hello@knightfintech']",https://in.linkedin.com/company/knightfintech
Symphony Fintech Solutions Pvt. Ltd,"3rd Floor, B Wing, Everest House 6, Unit No. 301, Suren Rd, Chakala, Andheri East, Mumbai, Maharashtra 400093 ",02240190900,https://www.google.com/maps/place/Symphony+Fintech+Solutions+Pvt.+Ltd/data=!4m7!3m6!1s0x3be7c82397fcc8a5:0xdbf81e34522947a3!8m2!3d19.1178654!4d72.8563408!16s%2Fg%2F11bzz2y__r!19sChIJpcj8lyPI5zsRo0cpUjQe-Ns?authuser=0&hl=en&rclk=1,http://www.symphonyfintech.com/,"['info@symphonyfintech.com', 'kavitarjoshi@gmail.com', 'info@symphonytech.com', ""first '.' last@symphonyfintech.com""]",https://in.linkedin.com/company/symphony-fintech
FINTECH INDIA,"OFFICE NO.107,FIRST FLOOR, Silver Point, NEW, Lal Bahadur Shastri Marg, opp. BIKANER SWEETS, Kasturi Park, Maneklal Estate, Ghatkopar West, Mumbai, Maharashtra 400086 ",07738901828,https://www.google.com/maps/place/FINTECH+INDIA/data=!4m7!3m6!1s0x3be7c7c7f882da45:0x34109162a7d6d028!8m2!3d19.0878668!4d72.9027294!16s%2Fg%2F11pyc1y04n!19sChIJRdqC-MfH5zsRKNDWp2KREDQ?authuser=0&hl=en&rclk=1,https://forms.gle/jAGThPbWFkg4oCBKA,"['bengaluru@eigroup.in', 'nria-fin-inquiry@nria.com', 'info@indiafintech.com', 'fintechpspl@gmail.com', 'info@accountmein.com']",https://in.linkedin.com/company/fintech-in
MyLead FinTech Private Limited,"19th Rd, Santacruz (West), Mumbai, Maharashtra 400052 ",08591311650,https://www.google.com/maps/place/MyLead+FinTech+Private+Limited/data=!4m7!3m6!1s0x3be7c962cc6b186b:0xf9d9fcac1ed8a212!8m2!3d19.0758842!4d72.8283974!16s%2Fg%2F11qfm6ypdx!19sChIJaxhrzGLJ5zsREqLYHqz82fk?authuser=0&hl=en&rclk=1,http://www.myleadfintech.com/,"['mylead@myleadfintech.com', 'soumyadip.d@myleadfintech.com']",https://in.linkedin.com/company/mylead-fintech-private-limited
Niyogin Fintech Limited,"311/312, 3rd floor, Neelkanth Corporate It Park, Kirol Rd, Vidyavihar West, Vidyavihar, Mumbai, Maharashtra 400086 ",18002660266,https://www.google.com/maps/place/Niyogin+Fintech+Limited/data=!4m7!3m6!1s0x3be7ce8dac561187:0x7456251bd45256e9!8m2!3d19.0820643!4d72.8954857!16s%2Fg%2F11fxz28mzc!19sChIJhxFWrI3O5zsR6VZS1BslVnQ?authuser=0&hl=en&rclk=1,https://niyogin.com/,"['info@niyogin.in', 'Email ID: info@niyogin.in', 'email: info@niyogin.in', 'noorallah.charania@niyogin.in', 'Email id: info@niyogin.in', 'info@niyogin.com']",https://in.linkedin.com/company/niyogin.in
Finacus Solutions Private Limited,"Senior Estate, 7 C, Parsi Panchayat Rd, near Sona Udyog, Sahyadri Colony, Natwar Nagar, Andheri East, Mumbai, Maharashtra 400069 ",02266894444,https://www.google.com/maps/place/Finacus+Solutions+Private+Limited/data=!4m7!3m6!1s0x3be7c82afd73f9a3:0x267677395c2f784e!8m2!3d19.1261047!4d72.8539251!16s%2Fg%2F12605d5mr!19sChIJo_lz_SrI5zsRTngvXDl3diY?authuser=0&hl=en&rclk=1,https://www.finacus.co.in/,"['info@finacus.co.in', 'ramalingam.p@finacus.co.in', 'hrd@finacus.co.in']",https://in.linkedin.com/company/finacus-solutions-pvt-ltd
Loan Wired Fintech Private Limited,"B-303 3rd Floor, Citi Point Premises Co-Op. Soc. Ltd, Andheri - Kurla Rd, J B Nagar, Andheri (E, Mumbai, Maharashtra 400059 ",Not present on google business profiles,https://www.google.com/maps/place/Loan+Wired+Fintech+Private+Limited/data=!4m7!3m6!1s0x3be7c91ad3246f37:0x4247dfe9993acd1e!8m2!3d19.1124242!4d72.867724!16s%2Fg%2F11rl0fb0p_!19sChIJN28k0xrJ5zsRHs06menfR0I?authuser=0&hl=en&rclk=1,Not present on google business profiles,"['info@loanwired.com', 'support@tofler.in']",https://in.linkedin.com/company/loanwiredofficial
Vampay Fintech Private Limited,"Unit No. 213, Kamla Spaces, Swami Vivekananda Rd, Hasmukh Nagar, Santacruz (West), Mumbai, Maharashtra 400054 ",08291067652,https://www.google.com/maps/place/Vampay+Fintech+Private+Limited/data=!4m7!3m6!1s0x3be7c9848188e4bd:0xba314d7605dce62b!8m2!3d19.0865185!4d72.8376546!16s%2Fg%2F11v_4vc86h!19sChIJveSIgYTJ5zsRK-bcBXZNMbo?authuser=0&hl=en&rclk=1,https://vampay.in/,"['supports@vampay.in', 'SHAIKHMOHAMMEDARIZ@gmail.com', 'ariz@vaamoz.com']",https://in.linkedin.com/company/vvampay
Fable Fintech,"1st & 2nd Floor, H Kantilal Compound, Andheri - Kurla Rd, opp. Logitech Park, Sag Baug, Marol, Saki Naka, Andheri, Mumbai, Maharashtra 400072 ",02235349100,https://www.google.com/maps/place/Fable+Fintech/data=!4m7!3m6!1s0x3be7c9304b2aa699:0xa70ad677cc9d3c7a!8m2!3d19.1060752!4d72.8854701!16s%2Fg%2F11schbfhjb!19sChIJmaYqSzDJ5zsRejydzHfWCqc?authuser=0&hl=en&rclk=1,https://www.fablefintech.com/contact-us,"['sales@fablefintech.com', 'infosec@fablefintech.com', 'accounts@fablefintech.com', 'Email ID: *****@fablefintech.com']",https://in.linkedin.com/company/fablefintech
