Company Name,Address,Phone Number,Google business profile link,Website,E-Mail
Tibil Solutions | Data Engineering | Data Analytics | Data Science | AI Solution Provider,"2nd floor, Swamy Legato, Sy. No. 20/7,Kadubeesanahalli, Bengaluru, Karnataka 560103 ",07829084245,https://www.google.com/maps/place/Tibil+Solutions+%7C+Data+Engineering+%7C+Data+Analytics+%7C+Data+Science+%7C+AI+Solution+Provider/data=!4m7!3m6!1s0x3bae16a32fd52e03:0x6e5ea0ccf8c5d7f7!8m2!3d12.9394919!4d77.6946554!16s%2Fg%2F11b_01yd0w!19sChIJAy7VL6MWrjsR99fF-MygXm4?authuser=0&hl=en&rclk=1,https://tibilsolutions.com/,"['manmeet.singh@tibilsolutions.com', 'Email ID: *****@tibilsolutions.com', 'finance@fewgoodpeople.com', 'xxxx@tibilsolutions.com']"
DataVal Analytics Inc,"GoWorkZone, 74 second floor, Krishna Reddy Colony, Amarjyoti Layout, Domlur, Bengaluru, Karnataka 560071 ",08586965402,https://www.google.com/maps/place/DataVal+Analytics+Inc/data=!4m7!3m6!1s0x3bae1209f000ea4b:0xfef62ec57c47903f!8m2!3d12.9562307!4d77.6389762!16s%2Fg%2F11gflz0b28!19sChIJS-oA8AkSrjsRP5BHfMUu9v4?authuser=0&hl=en&rclk=1,http://www.datavalanalytics.com/,"['maulik@team-infinity.com', 'info@datavalanalytics.com']"
Impact Analytics,"Block-C, Ground Floor, Global Technology Park, Outer Ring Rd, Bellandur, Bengaluru, Karnataka 560103 ",06678995128,https://www.google.com/maps/place/Impact+Analytics/data=!4m7!3m6!1s0x3bae1493c7eb10b7:0x68795f97a6d67137!8m2!3d12.9246036!4d77.683151!16s%2Fg%2F11c17cy1lb!19sChIJtxDrx5MUrjsRN3HWppdfeWg?authuser=0&hl=en&rclk=1,https://www.impactanalytics.co/,"['contact@impactanalytics.co', ""first '.' last@impactanalytics.co"", 'data@impactanalytics.biz', 'contact@impactanalytics.co', 'dr_ranjeeta_adhikary@yahoo.com', 'dr_ranjeeta_adhikary@yahoo.com', 'Email ID: *****@impactanalytics.co']"
Crossroad Elf DSS Pvt. Ltd | Data Analytics | Data Engineering | Decision Science Systems Company,"102, 2nd/3rd Floor, 17th Cross Rd, Sector 6, HSR Layout, Bengaluru, Karnataka 560102 ",07899757299,https://www.google.com/maps/place/Crossroad+Elf+DSS+Pvt.+Ltd+%7C+Data+Analytics+%7C+Data+Engineering+%7C+Decision+Science+Systems+Company/data=!4m7!3m6!1s0x3bae14ed438c693b:0x1d2f5884691539a4!8m2!3d12.9125188!4d77.6359263!16s%2Fg%2F11g8c8jks4!19sChIJO2mMQ-0UrjsRpDkVaYRYLx0?authuser=0&hl=en&rclk=1,https://www.crossroadelf.com/,"['name@crossroadelf.com', 'xxxx@crossroadelf.com', 'info@crossroadelf.com']"
Data Analytics Company in USA & India | UXUI | ESG Reporting | AI/ML | 47Billion,"Hoysala Ace, B1602, 20th Main Road, 1, 20th Cross Rd, A Block, Sahakar Nagar, Bengaluru, Karnataka 560092 ",07312973109,https://www.google.com/maps/place/Data+Analytics+Company+in+USA+%26+India+%7C+UXUI+%7C+ESG+Reporting+%7C+AI%2FML+%7C+47Billion/data=!4m7!3m6!1s0x3bae17e1378ae52b:0x912f44cc3caacd6!8m2!3d13.0670053!4d77.5865028!16s%2Fg%2F11ff22bjyj!19sChIJK-WKN-EXrjsR1qzKw0z0Egk?authuser=0&hl=en&rclk=1,http://47billion.com/,[]
SandCube Analytics Private Limited,"663, B.Channasandra Main Rd, B Channasandra, OMBR Layout, Banaswadi, Bengaluru, Karnataka 560043 ",08050019772,https://www.google.com/maps/place/SandCube+Analytics+Private+Limited/data=!4m7!3m6!1s0x3bae16c33729123d:0xf590496e095957be!8m2!3d13.0113371!4d77.6594276!16s%2Fg%2F11b8tbl908!19sChIJPRIpN8MWrjsRvldZCW5JkPU?authuser=0&hl=en&rclk=1,Not present on google business profiles,"['ojha.anish@gmail.com', 'Blr.sandcube@gmail.com', 'info@sandcubetechnologies.com', 'csaritha@sandcubeanalytics.com', 'blr.sandcube@gmail.com']"
Brainlabs Digital,"Level 5, Prestige Ferozes, 74, Cunningham Rd, Vasanth Nagar, Bengaluru, Karnataka 560052 ",08049372900,https://www.google.com/maps/place/Brainlabs+Digital/data=!4m7!3m6!1s0x3bae166462175899:0x2fe39821f3eb116e!8m2!3d12.989004!4d77.5930011!16s%2Fg%2F1tdbcw48!19sChIJmVgXYmQWrjsRbhHr8yGY4y8?authuser=0&hl=en&rclk=1,https://www.nabler.com/,"['partnerships@brainlabsdigital.com', 'gdpr@brainlabsdigital.com', 'mohan.singh@brainlab.com', 'Email ID: *****@brainlabsdigital.com', 'contact@brainlab.com']"
Mammoth Analytics,"596/2, 5th Cross Rd, 4th Block, Koramangala, Bengaluru, Karnataka 560034 ",Not present on google business profiles,https://www.google.com/maps/place/Mammoth+Analytics/data=!4m7!3m6!1s0x3bae141b76d05873:0xe060a8e540b0596f!8m2!3d12.9361314!4d77.6273219!16s%2Fg%2F11bwqqgblx!19sChIJc1jQdhsUrjsRb1mwQOWoYOA?authuser=0&hl=en&rclk=1,http://mammoth.io/,"['team@mammoth.io', 'support@mammoth.io', 'santanu@ecoprop.in']"
AmberTAG Analytics Private Limited,"305/66, 2nd Main Road, 40th Cross Rd, 8th Block, Jayanagar, Bengaluru, Karnataka 560070 ",08042005156,https://www.google.com/maps/place/AmberTAG+Analytics+Private+Limited/data=!4m7!3m6!1s0x3bae3ffcb3293fab:0xbb6f64f4d25a037c!8m2!3d12.9201106!4d77.5777981!16s%2Fg%2F11by_lm3kn!19sChIJqz8ps_w_rjsRfANa0vRkb7s?authuser=0&hl=en&rclk=1,http://www.ambertag.com/,"['info@ambertag.com', 'finance@ambertag.com', 'name@ambertag.com']"
Kushagramati Analytics Pvt Ltd,"2nd floor, No 16, 17th cross, MC Road, above to Pizza Hut, near Maruthi Mandir, Govindaraja Nagar Ward, PF Layout, Vijayanagar, Bengaluru, Karnataka 560040 ",09148544466,https://www.google.com/maps/place/Kushagramati+Analytics+Pvt+Ltd/data=!4m7!3m6!1s0x3bae3f2d692a8a35:0xef638dad45d6367a!8m2!3d12.9676981!4d77.5359572!16s%2Fg%2F11p622tfs5!19sChIJNYoqaS0_rjsRejbWRa2NY-8?authuser=0&hl=en&rclk=1,https://www.kmati.in/,['sales@kmati.in']
