Company Name,Address,Phone Number,Google business profile link,Website,E-Mail
Data Analytics Company in USA & India | UXUI | ESG Reporting | AI/ML | 47Billion,"Hoysala Ace, B1602, 20th Main Road, 1, 20th Cross Rd, A Block, Sahakar Nagar, Bengaluru, Karnataka 560092 ",07312973109,https://www.google.com/maps/place/Data+Analytics+Company+in+USA+%26+India+%7C+UXUI+%7C+ESG+Reporting+%7C+AI%2FML+%7C+47Billion/data=!4m7!3m6!1s0x3bae17e1378ae52b:0x912f44cc3caacd6!8m2!3d13.0670053!4d77.5865028!16s%2Fg%2F11ff22bjyj!19sChIJK-WKN-EXrjsR1qzKw0z0Egk?authuser=0&hl=en&rclk=1,http://47billion.com/,[]
Tibil Solutions | Data Engineering | Data Analytics | Data Science | AI Solution Provider,"2nd floor, Swamy Legato, Sy. No. 20/7,Kadubeesanahalli, Bengaluru, Karnataka 560103 ",07829084245,https://www.google.com/maps/place/Tibil+Solutions+%7C+Data+Engineering+%7C+Data+Analytics+%7C+Data+Science+%7C+AI+Solution+Provider/data=!4m7!3m6!1s0x3bae16a32fd52e03:0x6e5ea0ccf8c5d7f7!8m2!3d12.9394919!4d77.6946554!16s%2Fg%2F11b_01yd0w!19sChIJAy7VL6MWrjsR99fF-MygXm4?authuser=0&hl=en&rclk=1,https://tibilsolutions.com/,['support@fliphtml5.com']
Crossroad Elf DSS Pvt. Ltd | Data Analytics | Data Engineering | Decision Science Systems Company,"102, 2nd/3rd Floor, 17th Cross Rd, Sector 6, HSR Layout, Bengaluru, Karnataka 560102 ",07899757299,https://www.google.com/maps/place/Crossroad+Elf+DSS+Pvt.+Ltd+%7C+Data+Analytics+%7C+Data+Engineering+%7C+Decision+Science+Systems+Company/data=!4m7!3m6!1s0x3bae14ed438c693b:0x1d2f5884691539a4!8m2!3d12.9125188!4d77.6359263!16s%2Fg%2F11g8c8jks4!19sChIJO2mMQ-0UrjsRpDkVaYRYLx0?authuser=0&hl=en&rclk=1,https://www.crossroadelf.com/,"['punyeshl@gmail.com', 'name@crossroadelf.com']"
Impact Analytics,"Block-C, Ground Floor, Global Technology Park, Outer Ring Rd, Bellandur, Bengaluru, Karnataka 560103 ",06678995128,https://www.google.com/maps/place/Impact+Analytics/data=!4m7!3m6!1s0x3bae1493c7eb10b7:0x68795f97a6d67137!8m2!3d12.9246036!4d77.683151!16s%2Fg%2F11c17cy1lb!19sChIJtxDrx5MUrjsRN3HWppdfeWg?authuser=0&hl=en&rclk=1,https://www.impactanalytics.co/,"['contact@impactanalytics.co', 'name@impactanalytics.co', ""first '.' last@impactanalytics.co"", 'contact@impactanalytics.co', 'prithvik.kankappa@impactanalytics.co']"
DataVal Analytics Inc,"GoWorkZone, 74 second floor, Krishna Reddy Colony, Amarjyoti Layout, Domlur, Bengaluru, Karnataka 560071 ",08586965402,https://www.google.com/maps/place/DataVal+Analytics+Inc/data=!4m7!3m6!1s0x3bae1209f000ea4b:0xfef62ec57c47903f!8m2!3d12.9562307!4d77.6389762!16s%2Fg%2F11gflz0b28!19sChIJS-oA8AkSrjsRP5BHfMUu9v4?authuser=0&hl=en&rclk=1,http://www.datavalanalytics.com/,"['maulik@team-infinity.com', 'info@datavalanalytics.com']"
Fractal Analytics Ltd.,"4th floor, West Tower, Embassy Tech Village, Block 2A, Outer Ring Rd, Devarabisanahalli, Bengaluru, Karnataka 560103 ",08067237300,https://www.google.com/maps/place/Fractal+Analytics+Ltd./data=!4m7!3m6!1s0x3bae13a8d77746a9:0xb8d2e5e4cdc59aa8!8m2!3d12.9317572!4d77.6908523!16s%2Fg%2F11cn71y3x5!19sChIJqUZ316gTrjsRqJrFzeTl0rg?authuser=0&hl=en&rclk=1,https://fractal.ai/,"['Fractal@integritymatters.in', 'Email: chinmay.navre@fractal.ai', 'dylan.dias@fractal.ai', 'name@fractal.ai', 'info@fracta.ai']"
Emmela Data & Analytics,"33A, 1st Cross, 17th Main Rd, BTM 1st Stage, Bengaluru, Karnataka 560068 ",09108269439,https://www.google.com/maps/place/Emmela+Data+%26+Analytics/data=!4m7!3m6!1s0x3bae15c5c8c6fdb9:0x28e3808ee0580133!8m2!3d12.9172017!4d77.6115725!16s%2Fg%2F11h6slrx5r!19sChIJuf3GyMUVrjsRMwFY4I6A4yg?authuser=0&hl=en&rclk=1,https://emmela.com/,"['raja@emmela.com', 'name@emmela.com', 'raja@emmela.com']"
Fragma Data Systems,"2nd Floor, 559, 9th A Main Rd, Binnamangala, Stage 1, Indiranagar, Bengaluru, Karnataka 560038 ",545883336,https://www.google.com/maps/place/Fragma+Data+Systems/data=!4m7!3m6!1s0x3bae16a45f241e61:0xc6c3b1081d9d07a0!8m2!3d12.9777453!4d77.6386522!16s%2Fg%2F11clsjg301!19sChIJYR4kX6QWrjsRoAedHQixw8Y?authuser=0&hl=en&rclk=1,http://www.fragmadata.com/,"['connect@fragmadata.com', 'first last_initial@fragmadata.com', 'Product/service Enquiry: connect@fragmadata.com', 'name@fragmadata.com', 'varunk@fragmadata.com', 'klnrajareddy@gmail.com', ""Sajid Farooq's business email address is s***@fragmadata.com""]"
Vidatt Data Analytics Private Limited,"749, First Floor, 10th Main Rd, 3rd Block, West Of Chord Road, 3rd Stage, Basaveshwar Nagar, Bengaluru, Karnataka 560079 ",Not present on google business profiles,https://www.google.com/maps/place/Vidatt+Data+Analytics+Private+Limited/data=!4m7!3m6!1s0x3bae3d7de8abc7f5:0x6f56e05708a35fc1!8m2!3d12.9929464!4d77.5406788!16s%2Fg%2F11ghrfsgc5!19sChIJ9cer6H09rjsRwV-jCFfgVm8?authuser=0&hl=en&rclk=1,https://vidatt.com/,"['kkannappan@yahoo.com', 'vidyapeeth@gmail.com', 'info@velammalmain.com']"
SandCube Analytics Private Limited,"663, B.Channasandra Main Rd, B Channasandra, OMBR Layout, Banaswadi, Bengaluru, Karnataka 560043 ",08050019772,https://www.google.com/maps/place/SandCube+Analytics+Private+Limited/data=!4m7!3m6!1s0x3bae16c33729123d:0xf590496e095957be!8m2!3d13.0113371!4d77.6594276!16s%2Fg%2F11b8tbl908!19sChIJPRIpN8MWrjsRvldZCW5JkPU?authuser=0&hl=en&rclk=1,Not present on google business profiles,"['blr.sandcube@gmail.com', 'ojha.anish@gmail.com', 'Blr.sandcube@gmail.com', 'info@sandcubetechnologies.com', 'csaritha@sandcubeanalytics.com']"
Kushagramati Analytics Pvt Ltd,"2nd floor, No 16, 17th cross, MC Road, above to Pizza Hut, near Maruthi Mandir, Govindaraja Nagar Ward, PF Layout, Vijayanagar, Bengaluru, Karnataka 560040 ",09148544466,https://www.google.com/maps/place/Kushagramati+Analytics+Pvt+Ltd/data=!4m7!3m6!1s0x3bae3f2d692a8a35:0xef638dad45d6367a!8m2!3d12.9676981!4d77.5359572!16s%2Fg%2F11p622tfs5!19sChIJNYoqaS0_rjsRejbWRa2NY-8?authuser=0&hl=en&rclk=1,https://www.kmati.in/,"['sales@kmati.in', 'sales@kmati.in', 'shruthi.malagi@kmati.in', 'Email: *****@kmati.in', 'a***@kmati.in', 'sales@kmati.in']"
AmberTAG Analytics Private Limited,"305/66, 2nd Main Road, 40th Cross Rd, 8th Block, Jayanagar, Bengaluru, Karnataka 560070 ",08042005156,https://www.google.com/maps/place/AmberTAG+Analytics+Private+Limited/data=!4m7!3m6!1s0x3bae3ffcb3293fab:0xbb6f64f4d25a037c!8m2!3d12.9201106!4d77.5777981!16s%2Fg%2F11by_lm3kn!19sChIJqz8ps_w_rjsRfANa0vRkb7s?authuser=0&hl=en&rclk=1,http://www.ambertag.com/,"['info@ambertag.com', 'finance@ambertag.com', 'bharat@ambertag.com', 'name@ambertag.com']"
Mammoth Analytics,"596/2, 5th Cross Rd, 4th Block, Koramangala, Bengaluru, Karnataka 560034 ",Not present on google business profiles,https://www.google.com/maps/place/Mammoth+Analytics/data=!4m7!3m6!1s0x3bae141b76d05873:0xe060a8e540b0596f!8m2!3d12.9361314!4d77.6273219!16s%2Fg%2F11bwqqgblx!19sChIJc1jQdhsUrjsRb1mwQOWoYOA?authuser=0&hl=en&rclk=1,http://mammoth.io/,"['team@mammoth.io', 'support@mammoth.io', 'santanu@ecoprop.in']"
Data Analytical System & Solutions,"No: #42-46, 2nd floor, Nanjamma Complex G' Main Street, Jogupalya Rd, Halasuru, Karnataka 560008 ",08025577797,https://www.google.com/maps/place/Data+Analytical+System+%26+Solutions/data=!4m7!3m6!1s0x3bae169f27e37995:0x200720abd6727cf1!8m2!3d12.9741878!4d77.6277547!16s%2Fg%2F1pp2w_zsb!19sChIJlXnjJ58WrjsR8Xxy1qsgByA?authuser=0&hl=en&rclk=1,http://dassnxt.com/,[]
Germane Analytics Pvt Ltd,"#90/1, Unit 'B', First Floor Rathnavilas Road,, Basavanagudi, Bengaluru, Karnataka 560004 ",08041200565,https://www.google.com/maps/place/Germane+Analytics+Pvt+Ltd/data=!4m7!3m6!1s0x3bae1591f3daaccd:0xc97f377ef60f1dd8!8m2!3d12.9383159!4d77.5777659!16s%2Fg%2F11bxd8s_wh!19sChIJzaza85EVrjsR2B0P9n43f8k?authuser=0&hl=en&rclk=1,http://www.germane-analytics.com/,"['corporate@germane-analytics.com', 'hr@germane-analytics.com', 'sales@germane-analytics.com', 'corporate@germane-analytics.com', 'xxxx@germane-analytics.com', 'xxxx@germane-analytics.com']"
DataZymes,"3rd Floor, Anthill IQ, 20, Cunningham Rd, Vasanth Nagar, Bengaluru, Karnataka 560052 ",07406644226,https://www.google.com/maps/place/DataZymes/data=!4m7!3m6!1s0x3bae154cbbbb2687:0xd47bca8123a50a71!8m2!3d12.9849155!4d77.5968634!16s%2Fg%2F11f2smzj76!19sChIJhya7u0wVrjsRcQqlI4HKe9Q?authuser=0&hl=en&rclk=1,http://www.datazymes.com/,"['amith@datazymes.com', 'trskumar2@dataone.in', 'Email ID: *****@datazymes.com']"
Textual Analytics Solutions,"4002/A, 100 Feet Rd, II Stage, Domlur, Bengaluru, Karnataka 560038 ",08040989001,https://www.google.com/maps/place/Textual+Analytics+Solutions/data=!4m7!3m6!1s0x3bae141b4623cd15:0xe6ddcb6233849a53!8m2!3d12.9631212!4d77.6414323!16s%2Fg%2F1vn_xdlm!19sChIJFc0jRhsUrjsRU5qEM2LL3eY?authuser=0&hl=en&rclk=1,http://www.tas.in/,"['info@tas.in', ""first '.' last@tas.in"", 'info@tas.in', 'info@tas.in']"
"NUCOT - Software Company, Data Science, Data Scientist, Data Analyst, AI Solutions in Bangalore","4,5, Crimson Court, Jeevan Bima Nagar Main Rd, next to Indian Oil Petrol Pump, HAL 3rd Stage, DOS Colony, Jeevan Bima Nagar, Bengaluru, Karnataka 560075 ",09341219924,"https://www.google.com/maps/place/NUCOT+-+Software+Company,+Data+Science,+Data+Scientist,+Data+Analyst,+AI+Solutions+in+Bangalore/data=!4m7!3m6!1s0x3bae13ff8e26bb27:0x1e92842c8ba91d1!8m2!3d12.9676792!4d77.6536691!16s%2Fg%2F11b8tx0wh3!19sChIJJ7smjv8TrjsR0ZG6yEIo6QE?authuser=0&hl=en&rclk=1",https://nucot.co.in/,"['rashmirudramuni@nuage.co.in', 'rashmirudramuni@nuage.co.in', 'rashmirudramuni@nuage.co.in', 'hr@nuage.co.in', 'rashmirudramuni@nuage.co.in', 'hr@nuage.co.in']"
